elevation,slope,rainfall,ndvi,ndwi,landcover,flooded,row,col
0.0,0.0,2008.5165,-0.287566,0.22079286,80.0,1,418,2443
0.0,0.0,2047.2181,0.11263002,-0.060322855,80.0,1,399,2885
0.0,0.0,1987.7747,-0.20107858,0.184107,80.0,1,277,2875
0.0,0.0,1607.1483,0.0,0.0,80.0,1,908,177
0.0,0.0,1952.9916,-0.2605511,0.24742635,80.0,1,525,2229
0.0,0.0,1976.811,-0.30087095,0.27682227,80.0,1,501,1966
0.0,0.0,1648.7219,0.0606777,-0.075939246,80.0,1,526,525
3.2536252,1.6299156,1830.929,0.3903319,-0.37692034,95.0,1,828,965
1.0006822,0.3227864,2284.4077,0.17186108,-0.1408756,80.0,1,785,4514
0.0,0.0,1912.2832,-0.29049033,0.27376425,80.0,1,623,2050
0.0,0.0,1958.2212,-0.36288318,0.36367399,80.0,1,491,2098
0.0,0.0,1940.4509,-0.35505712,0.33362484,80.0,1,566,2048
0.0,0.0,1941.4365,-0.2398401,0.22879352,80.0,1,315,2125
0.0,0.0,2116.1787,-0.29943502,0.31015298,80.0,1,593,3962
0.0,0.0,2105.446,-0.07836991,0.08182386,80.0,1,663,3841
0.0,0.0,2279.3813,0.30110934,-0.2611367,90.0,1,486,4117
0.0,0.0,1997.0935,-0.27067932,0.21425863,80.0,1,362,2719
0.0,0.0,2011.0892,-0.2586249,0.20158103,80.0,1,514,2465
0.0,0.0,1995.2947,-0.10603478,0.057173677,80.0,1,261,3089
0.0,0.0,2043.5431,0.048312377,-0.04623514,80.0,1,345,2921
0.0,0.0,2046.3267,-0.054748602,0.033363804,80.0,1,496,2661
0.0,0.0,2076.2683,-0.11464245,0.106017195,80.0,1,664,3683
0.0,0.0,1703.394,-0.0028530671,-0.014513788,80.0,1,767,383
0.0,0.0,1898.8502,0.16688311,-0.26653352,60.0,1,802,1975
0.0,0.0,2064.7717,-0.26491648,0.19628878,80.0,1,446,2542
0.0,0.0,2109.1987,-0.20966688,0.21985815,80.0,1,628,3925
0.0,0.0,2016.1404,-0.1799431,0.15469208,80.0,1,385,2766
0.0,0.0,2288.7976,0.14489311,-0.11059908,80.0,1,469,4083
0.0,0.0,1888.8961,-0.24940476,0.22328304,80.0,1,766,1930
0.0,0.0,2229.8926,0.021428572,0.002988048,80.0,1,430,3910
0.0,0.0,1918.4451,-0.37156704,0.36670735,80.0,1,613,2075
0.0,0.0,2251.6523,0.326284,-0.27062228,90.0,1,372,4150
0.0,0.0,2272.9502,0.23136915,-0.20270842,90.0,1,490,4111
0.0,0.0,1835.5786,-0.3305842,0.30651477,80.0,1,634,1956
0.0,0.0,1873.2386,0.073790185,-0.16148992,60.0,1,668,2154
0.0,0.0,2157.4246,-0.33697882,0.34192672,80.0,1,563,3877
0.0,0.0,1981.1682,-0.3090909,0.27663022,80.0,1,498,1966
1.3108099,0.0,1890.887,0.0,0.0,80.0,1,829,1939
0.0,0.0,1878.9778,0.32633114,-0.35479063,30.0,1,659,2189
-2.0,0.0,1802.558,-0.18299751,0.11350704,80.0,1,621,1112
0.0,0.0,1998.8112,-0.17041555,0.14666666,80.0,1,282,3004
0.7872366,1.274608,1703.7747,0.52457553,-0.5466908,80.0,1,839,613
0.0,0.0,1904.7479,-0.301102,0.28064397,80.0,1,576,2304
0.0,0.0,1916.1066,-0.35939643,0.33214158,80.0,1,575,2256
0.0,0.0,2281.1387,0.034065936,0.012073491,80.0,1,449,4064
0.0,0.0,2110.6572,-0.25631768,0.2766854,80.0,1,698,4109
0.0,0.0,1868.7795,-0.31658292,0.31179446,80.0,1,597,2328
0.0,0.0,1978.3536,0.0,0.0,80.0,1,765,3416
0.0,0.0,2039.6434,-0.2360867,0.22519311,80.0,1,598,3617
0.0,0.0,1998.364,0.14807115,-0.17051342,90.0,1,410,1972
0.0,0.0,1860.0731,0.025411896,-0.09296557,80.0,1,681,2184
0.0,0.0,1952.5938,-0.034434784,0.034770515,80.0,1,242,2818
2.014855,4.6132007,1843.7742,0.0014360938,-0.09816273,80.0,1,831,984
0.0,0.0,2006.6952,-0.20913996,0.17209302,80.0,1,501,2308
0.0,0.0,2103.3062,-0.1982314,0.20641868,80.0,1,689,3849
0.0,0.0,2122.3364,-0.27733332,0.27685124,80.0,1,594,3880
